Lng,Lat,DOM,followers,totalPrice,square,kitchen,bathRoom,floor,constructionTime
116.400524,39.958938,1.0,20,215.0,43.79,1,1,14,1989
116.434144,39.892211,69.0,20,479.0,47.56,1,1,6,1993
116.416214,39.906904,1.0,17,313.0,57.76,1,1,16,1979
116.411858,39.869364,1.0,0,190.0,90.65,1,1,12,2009
116.448623,39.945062,84.0,58,830.0,82.04,1,1,22,2007
116.417991,39.956806,13.0,64,888.0,100.02,1,1,20,1994
116.455654,39.898084,100.0,48,427.0,50.36,1,1,28,2009
116.446478,39.936531,4.0,1,515.0,55.42,1,1,6,1994
116.453086,39.898397,1.0,1,251.0,61.93,1,1,23,2009
116.435195,39.919148,1.0,3,225.0,44.32,1,1,6,1992
116.420099,39.901616,98.0,93,235.0,30.4,1,1,7,2004
116.411885,39.87098,25.0,38,627.0,106.0,1,1,11,2002
116.41695,39.953993,9.0,21,505.0,45.0,1,1,7,2002
116.437956,39.926419,151.0,158,695.0,74.95,1,1,16,2003
116.411368,39.929449,55.0,84,550.0,54.08,1,1,5,1985
116.420099,39.901616,4.0,54,327.0,29.4,1,1,7,2004
116.426265,39.949747,1.0,11,380.0,54.23,1,1,5,1988
116.404199,39.954132,77.0,66,617.0,59.15,1,1,6,1985
116.430723,39.888924,20.0,34,450.0,47.56,1,1,6,1990
116.407868,39.95802,1.0,27,315.0,60.25,1,1,6,1990
116.442114,39.951182,1.0,0,378.0,80.72,1,1,18,1995
116.426912,39.960779,2.0,0,465.0,40.98,1,1,6,1996
116.435611,39.948432,6.0,20,500.0,60.5,1,1,13,2002
116.411858,39.869364,1.0,25,272.0,71.29,1,1,12,2009
116.427853,39.966824,1.0,0,248.0,54.31,1,1,5,1981
116.432142,39.902354,63.0,9,520.0,59.65,1,1,12,2005
116.416543,39.869811,1.0,47,702.0,150.6,1,2,6,2006
116.426814,39.911701,1.0,7,285.0,54.79,1,1,5,1990
116.415072,39.968084,1.0,20,270.0,56.59,1,1,5,1986
116.427853,39.966824,1.0,0,230.0,45.83,1,1,6,1995
116.445751,39.903761,66.0,26,510.0,73.0,1,1,11,2007
116.4084,39.952188,1.0,0,458.0,98.79,1,1,2,1965
116.402772,39.959887,1.0,3,480.0,70.66,1,1,14,1996
116.445042,39.894679,19.0,14,555.0,62.71,1,1,18,2002
116.435937,39.931833,63.0,28,1098.0,124.95,1,2,6,1998
116.432764,39.932355,41.0,44,1175.0,81.8,1,1,4,2003
116.43345,39.944246,11.0,22,930.0,84.16,1,1,18,1998
116.429768,39.898926,58.0,38,1036.0,93.37,1,1,14,2004
116.411858,39.869364,1.0,27,323.0,78.79,1,1,12,2009
116.43343,39.958449,18.0,33,545.0,55.18,1,1,6,1990
116.437847,39.933684,1.0,0,550.0,71.04,1,1,10,2003
116.446478,39.936531,31.0,11,450.0,46.46,1,1,6,1980
116.428125,39.929202,1.0,2,528.0,77.67,1,1,10,2004
116.434144,39.928568,81.0,95,850.0,91.64,1,1,16,2003
116.416543,39.869811,1.0,5,276.0,63.7,1,1,13,2006
116.421081,39.904828,1.0,15,1380.0,204.51,1,2,10,2004
116.417962,39.949228,36.0,69,481.0,38.42,1,1,6,1988
116.43191,39.919202,3.0,0,470.0,42.26,1,1,6,1990
116.441581,39.953001,1.0,0,500.0,46.0,1,1,6,1995
116.440069,39.902423,1.0,2,370.0,63.18,1,1,11,2003
116.442531,39.89667,1.0,3,420.0,88.06,1,1,16,2008
116.434583,39.931714,30.0,15,905.0,72.98,1,1,5,2003
116.409688,39.958188,1.0,15,540.0,89.31,1,1,19,2006
116.427853,39.966824,1.0,0,255.0,60.11,1,1,5,1986
116.436403,39.931929,1.0,0,1880.0,210.5,1,3,6,1990
116.43349,39.882446,1.0,6,236.0,63.97,1,1,6,1989
116.444518,39.939961,99.0,3,528.0,56.45,1,1,5,1983
116.448524,39.899018,1.0,2,405.0,106.08,1,1,21,2005
116.418248,39.964378,186.0,127,438.0,56.82,1,1,5,1980
116.442354,39.957293,1.0,1,263.0,64.62,1,1,14,1986
116.400737,39.870957,1.0,10,390.0,114.42,1,1,18,1999
116.413838,39.895714,1.0,3,373.0,71.51,1,1,4,2003
116.433451,39.923705,4.0,6,522.0,55.1,1,1,16,2004
116.442354,39.957293,1.0,3,195.0,42.64,1,1,14,1986
116.41524,39.876518,1.0,22,273.0,58.04,1,1,6,1980
116.432142,39.902354,17.0,14,622.0,59.28,1,1,18,2006
116.399108,39.876842,1.0,5,451.0,61.03,1,1,22,2010
116.433451,39.923705,1.0,9,382.0,63.91,1,1,16,2004
116.439746,39.905443,15.0,45,463.0,55.91,1,1,6,1994
116.418248,39.964378,1.0,6,258.0,48.99,1,1,5,1979
116.444673,39.880008,1.0,5,235.0,57.94,1,1,14,2004
116.412478,39.905227,154.0,113,1239.9,189.47,1,2,6,1998
116.420099,39.901616,5.0,22,315.0,28.6,1,1,7,2004
116.400737,39.870957,1.0,0,320.0,107.38,1,1,18,1999
116.444744,39.895252,25.0,22,540.0,61.26,1,1,7,1991
116.432764,39.932355,1.0,2,655.0,67.93,1,1,6,2003
116.435879,39.901966,38.0,8,1260.0,126.0,1,2,17,2004
116.435055,39.941656,1.0,23,493.0,83.93,1,2,8,2003
116.426912,39.960779,26.0,29,408.0,40.98,1,1,6,1996
116.400533,39.962226,7.0,28,650.0,50.34,1,1,6,1980
116.450277,39.950513,59.0,176,473.0,57.26,1,1,17,1991
116.442022,39.893339,49.0,33,446.0,49.87,1,1,5,1978
116.420099,39.901616,1.0,11,166.0,31.5,1,1,7,2004
116.440292,39.901819,1.0,15,228.0,91.59,1,1,4,1960
116.414432,39.977111,9.0,18,462.0,50.0,1,1,20,1995
116.427002,39.962219,22.0,0,618.0,58.5,1,1,6,1996
116.445818,39.945717,1.0,12,348.0,59.94,1,1,6,1986
116.453086,39.898397,121.0,25,450.0,93.0,1,1,23,2009
116.394978,39.963326,13.0,12,450.0,46.87,1,1,17,1990
116.404734,39.960609,1.0,4,350.0,50.38,1,1,6,1990
116.428467,39.902511,1.0,13,418.0,81.07,1,1,17,2004
116.445042,39.894679,1.0,0,186.0,31.36,1,1,12,2002
116.433321,39.906309,91.0,26,500.0,55.8,1,1,14,1980
116.418443,39.866651,5.0,19,340.0,66.1,1,1,6,1984
116.441446,39.943621,251.0,92,449.5,56.4,1,1,18,1991
116.441446,39.943621,4.0,0,650.0,64.02,1,1,18,1991
116.395254,39.872359,38.0,0,425.0,71.0,1,1,19,2001
