fiveYearsProperty,subway,communityAverage,tradeTime
1.0,1.0,96140.0,20150406.0
1.0,1.0,85681.0,20170215.0
1.0,1.0,90270.0,20160204.0
1.0,1.0,67507.0,20120828.0
1.0,1.0,105084.0,20170303.0
0.0,1.0,97274.0,20161011.0
1.0,1.0,78235.0,20171213.0
1.0,1.0,84810.0,20170209.0
0.0,1.0,78590.0,20130329.0
1.0,1.0,102667.0,20141227.0
0.0,1.0,96498.0,20160629.0
1.0,1.0,54424.0,20170106.0
0.0,1.0,116788.0,20161107.0
1.0,1.0,92522.0,20170726.0
1.0,1.0,101249.0,20170723.0
1.0,1.0,96498.0,20170218.0
1.0,1.0,90413.0,20160131.0
1.0,1.0,97463.0,20170730.0
0.0,1.0,79389.0,20170301.0
1.0,1.0,90665.0,20151229.0
1.0,1.0,85262.0,20130406.0
0.0,1.0,102521.0,20170810.0
1.0,1.0,101657.0,20160731.0
1.0,1.0,67507.0,20151121.0
1.0,1.0,85073.0,20121213.0
1.0,1.0,95392.0,20160807.0
1.0,1.0,74909.0,20160130.0
1.0,1.0,92146.0,20150901.0
1.0,1.0,92041.0,20150629.0
1.0,1.0,85073.0,20121228.0
1.0,1.0,87766.0,20160728.0
1.0,1.0,79422.0,20130105.0
1.0,1.0,102103.0,20150719.0
0.0,0.0,93124.0,20161226.0
0.0,1.0,118631.0,20160719.0
1.0,1.0,114157.0,20170420.0
0.0,1.0,97747.0,20170307.0
0.0,1.0,103883.0,20171123.0
1.0,1.0,67507.0,20160225.0
1.0,1.0,97882.0,20161231.0
1.0,1.0,117682.0,20150522.0
0.0,1.0,84810.0,20170803.0
1.0,1.0,112252.0,20151218.0
1.0,1.0,98739.0,20171127.0
1.0,1.0,74909.0,20130916.0
1.0,1.0,120447.0,20150725.0
1.0,1.0,122763.0,20161211.0
0.0,1.0,97705.0,20170224.0
0.0,1.0,88954.0,20170211.0
1.0,1.0,110212.0,20150425.0
1.0,1.0,102029.0,20150117.0
1.0,1.0,128168.0,20170106.0
1.0,1.0,79901.0,20151004.0
1.0,1.0,85073.0,20120918.0
0.0,1.0,96977.0,20170406.0
1.0,1.0,78593.0,20150307.0
0.0,1.0,89013.0,20160920.0
1.0,1.0,70081.0,20151130.0
1.0,1.0,91391.0,20160910.0
1.0,1.0,89043.0,20140629.0
1.0,1.0,63379.0,20130921.0
1.0,1.0,82323.0,20150124.0
1.0,1.0,106634.0,20160704.0
1.0,1.0,89043.0,20140222.0
1.0,1.0,80128.0,20151102.0
0.0,1.0,95392.0,20161119.0
1.0,1.0,97522.0,20160417.0
1.0,1.0,106634.0,20150731.0
1.0,1.0,86883.0,20160731.0
1.0,1.0,91391.0,20150523.0
1.0,1.0,71761.0,20150412.0
0.0,1.0,65109.0,20161023.0
0.0,1.0,96498.0,20171116.0
0.0,1.0,63379.0,20140831.0
0.0,1.0,82774.0,20170627.0
0.0,1.0,114157.0,20160225.0
0.0,1.0,98666.0,20160921.0
0.0,1.0,104629.0,20151006.0
0.0,1.0,102521.0,20171221.0
1.0,1.0,106452.0,20170311.0
1.0,1.0,84131.0,20171018.0
0.0,0.0,84672.0,20170220.0
1.0,1.0,96498.0,20151023.0
1.0,1.0,84208.0,20160108.0
1.0,1.0,87505.0,20161225.0
0.0,1.0,99655.0,20171220.0
1.0,1.0,89698.0,20150826.0
1.0,1.0,78590.0,20160808.0
1.0,1.0,86828.0,20161020.0
1.0,1.0,108304.0,20150802.0
1.0,1.0,87809.0,20140421.0
0.0,1.0,93124.0,20140420.0
1.0,0.0,96040.0,20171213.0
1.0,1.0,66495.0,20160912.0
1.0,1.0,94958.0,20160915.0
0.0,1.0,94958.0,20170123.0
0.0,1.0,56462.0,20170217.0
1.0,1.0,109937.0,20170312.0
0.0,0.0,116904.0,20160902.0
1.0,1.0,86517.0,20160221.0
0.0,0.0,92380.0,20160926.0
1.0,1.0,97830.0,20150611.0
1.0,1.0,91391.0,20160128.0
1.0,1.0,78508.0,20170424.0
0.0,1.0,82541.0,20170213.0
0.0,1.0,94514.0,20160128.0
0.0,1.0,109937.0,20160925.0
1.0,1.0,84368.0,20150905.0
1.0,1.0,97882.0,20160829.0
1.0,0.0,107168.0,20160306.0
0.0,1.0,78590.0,20160924.0
1.0,1.0,105084.0,20161213.0
0.0,1.0,97522.0,20171106.0
1.0,1.0,81362.0,20150513.0
1.0,1.0,95392.0,20170118.0
1.0,1.0,95294.0,20130920.0
1.0,1.0,75365.0,20150827.0
0.0,1.0,85287.0,20151123.0
0.0,1.0,97649.0,20160921.0
1.0,1.0,91208.0,20151206.0
0.0,1.0,97522.0,20150823.0
1.0,1.0,75950.0,20160323.0
1.0,1.0,61892.0,20160430.0
1.0,1.0,94514.0,20160804.0
1.0,1.0,94271.0,20130105.0
1.0,1.0,98666.0,20160924.0
0.0,1.0,96997.0,20161014.0
1.0,1.0,97882.0,20151005.0
1.0,1.0,117682.0,20171029.0
1.0,1.0,85557.0,20160729.0
0.0,1.0,155772.0,20160321.0
0.0,1.0,86828.0,20160918.0
1.0,1.0,87076.0,20170312.0
1.0,1.0,56462.0,20150531.0
1.0,1.0,101657.0,20171022.0
1.0,1.0,79773.0,20160622.0
0.0,1.0,112082.0,20150921.0
0.0,0.0,84672.0,20170216.0
1.0,1.0,92516.0,20171013.0
1.0,1.0,70081.0,20150618.0
0.0,1.0,84090.0,20161213.0
1.0,1.0,105511.0,20150913.0
0.0,1.0,95392.0,20170710.0
0.0,1.0,86380.0,20170306.0
1.0,1.0,81849.0,20131113.0
0.0,1.0,69605.0,20170224.0
1.0,1.0,87189.0,20171108.0
1.0,1.0,62724.0,20160313.0
0.0,1.0,90665.0,20160930.0
1.0,1.0,106452.0,20170123.0
0.0,1.0,111751.0,20150215.0
0.0,1.0,94189.0,20151111.0
1.0,1.0,93519.0,20170106.0
0.0,1.0,95392.0,20161016.0
1.0,1.0,85870.0,20161128.0
0.0,1.0,92162.0,20170311.0
0.0,1.0,103883.0,20170213.0
1.0,1.0,54103.0,20120822.0
0.0,1.0,118435.0,20161210.0
1.0,1.0,92522.0,20170116.0
1.0,1.0,92742.0,20151118.0
0.0,1.0,60459.0,20170219.0
1.0,1.0,96969.0,20160712.0
0.0,1.0,92427.0,20170421.0
1.0,1.0,97463.0,20170224.0
1.0,0.0,87426.0,20140124.0
1.0,1.0,97274.0,20140705.0
0.0,1.0,99655.0,20141223.0
1.0,1.0,89698.0,20160604.0
0.0,1.0,84368.0,20170327.0
1.0,1.0,104241.0,20150816.0
1.0,1.0,80845.0,20160817.0
0.0,1.0,78590.0,20151215.0
0.0,1.0,81362.0,20170630.0
1.0,1.0,82323.0,20160417.0
1.0,1.0,78590.0,20160221.0
0.0,1.0,95392.0,20160820.0
0.0,1.0,80845.0,20160830.0
0.0,1.0,96140.0,20150329.0
1.0,1.0,86828.0,20151122.0
1.0,1.0,96498.0,20160831.0
1.0,1.0,93182.0,20160704.0
1.0,0.0,112696.0,20160829.0
1.0,1.0,120447.0,20160803.0
1.0,1.0,66495.0,20160312.0
1.0,1.0,63863.0,20170222.0
0.0,1.0,87809.0,20130411.0
1.0,1.0,96997.0,20170408.0
1.0,1.0,123223.0,20150529.0
0.0,1.0,103883.0,20160818.0
1.0,1.0,80845.0,20170324.0
1.0,1.0,54424.0,20161023.0
1.0,1.0,97274.0,20150821.0
0.0,1.0,77087.0,20151213.0
1.0,1.0,95392.0,20160709.0
0.0,1.0,84090.0,20121030.0
